ticker,class_code,side,notional,entry_price,lot_size
USD/RUB,SPBFUT_CONT,long,16959.920734394465,136526.1758917746,1
RTSI,SPBFUT_CONT,short,17686.12999788811,83888.8178274251,1
AKRN,TQBR,long,14768.80298018932,17186.0,1
VSMO,TQBR,short,14252.217763610035,21400.0,1
TATN,SPBFUT_CONT,short,14609.77463157112,68821.04458219782,1
AKRN,TQBR,long,11628.228186952387,17108.0,1
GAZP,SPBFUT_CONT,short,9219.715352056166,16531.24080960296,1
LKOH,SPBFUT_CONT,short,15837.153795267775,74089.6043593275,1
IMOEX,SPBFUT_CONT,short,17733.249466183624,361788.54203528696,1
TATN,SPBFUT_CONT,short,12690.212667820453,69623.18517479992,1
SBER,SPBFUT_CONT,long,16093.104173230833,27260.00539624952,1
SNGSP,SPBFUT_CONT,long,11642.915695203856,66682.79248768525,1
EUR/RUB,SPBFUT_CONT,long,25470.142016047677,137243.43407945073,1
MOEX,SPBFUT_CONT,short,14104.814530007036,18980.27915944912,1
VSMO,TQBR,long,15327.708038132123,22500.0,1
SNGS,SPBFUT_CONT,long,11910.784278292105,32798.88009322452,1
VSMO,TQBR,long,15626.757953792352,22540.0,1
VSMO,TQBR,long,14451.899871343086,22560.0,1
MOEX,SPBFUT_CONT,long,19783.183789119204,19803.964330599156,1
iShares Core,SPBFUT_CONT,long,20324.885883487328,38069.85378273117,1
SNGS,SPBFUT_CONT,long,21275.589570178858,33067.72337267718,1
NLMK,SPBFUT_CONT,long,15415.676816715604,18680.23920828644,1
MAGN,SPBFUT_CONT,long,18654.014994018595,49110.25348107038,1
iShares Core,SPBFUT_CONT,long,17689.45306630325,37486.51350580127,1
MAGN,SPBFUT_CONT,long,17533.443283767876,48651.46209432363,1
Tracker Fund,SPBFUT_CONT,short,21453.117905593586,22954.28559354648,1
EUR/RUB,SPBFUT_CONT,long,36571.32937645896,133603.94079240825,1
ROSN,SPBFUT_CONT,long,16880.160756653742,80283.6912993514,1
AFKS,SPBFUT_CONT,long,12115.191912208727,19234.12945714528,1
GAZP,SPBFUT_CONT,long,10835.984119375298,19117.06815484295,1
SIBN,SPBFUT_CONT,long,5269.355415583921,7160.424222505305,1
FLOT,SPBFUT_CONT,short,7482.690385935794,11363.293240053834,1
RTGZ,TQBR,long,6773.428978653628,46800.0,1
LKOH,SPBFUT_CONT,long,26550.95788432413,81360.33792145553,1
ROSN,SPBFUT_CONT,long,9598.380560105114,77633.31116094257,1
TATN,SPBFUT_CONT,long,15080.28085870238,82572.87625507201,1
MAGN,SPBFUT_CONT,long,17827.921983734577,48666.143418699525,1
AFKS,SPBFUT_CONT,long,13448.767556325905,20175.521676840697,1
IRAO,SPBFUT_CONT,short,37406.932348753035,44397.34990017206,1
EUR/RUB,SPBFUT_CONT,long,35236.11844649026,134563.99897364248,1
VSMO,TQBR,long,13055.2529070937,29340.0,1
LKOH,SPBFUT_CONT,long,37147.96475984251,83322.05371449205,1
IRAO,SPBFUT_CONT,short,23153.4509919373,44404.16227005164,1
IMOEX,SPBFUT_CONT,long,23556.924675034363,432477.97971314687,1
AKRN,TQBR,short,11677.465914994225,17668.0,1
MAGN,SPBFUT_CONT,short,24020.66736796169,45328.589010579155,1
