seed,return_pct,cagr_pct,sharpe,max_dd_pct,pct_profitable_missed_to_margin,avg_margin_util_pct,risk_per_trade,margin_cap,block
9,52.16918464110385,71.91644740386576,1.013151802496049,32.137878322264704,84.72458830210108,69.48504116589808,0.01,0.8,holdout
10,196.81822307332774,307.2052301828209,2.308370927522376,29.479497339250532,85.00851788756388,70.33547074674968,0.01,0.8,holdout
11,59.37156302208009,82.4898503768067,1.0214425126149689,32.701015738297194,84.38387279954571,70.08295032503972,0.01,0.8,holdout
12,129.00444802846573,191.35839095382062,1.6292613596713912,27.5263678545085,84.61101646791596,69.63326360672345,0.01,0.8,holdout
13,209.05921500412626,329.0080847728359,2.253207902687762,26.78865672947862,83.87279954571267,69.56238541010784,0.01,0.8,holdout
14,175.20221368408863,269.3436339775867,2.02995183165102,23.744044708361862,83.87279954571267,69.7054887921531,0.01,0.8,holdout
15,424.0022555171609,748.0028231507367,2.769425926234879,16.97930780623193,84.27030096536059,70.43971420525217,0.01,0.8,holdout
16,181.89230308852825,280.9724958144485,2.1117216964462866,26.755268241066442,84.38387279954571,70.01586062941634,0.01,0.8,holdout
17,68.21125512996562,95.65757641010693,1.1752088417003788,43.06349527910861,85.23566155593413,70.42657860267893,0.01,0.8,holdout
18,176.32534910886145,271.2902121470438,1.73649881434427,26.620558268134303,85.17887563884156,69.9831501518823,0.01,0.8,holdout
19,355.9753296100046,608.6853431819875,2.777660051143304,28.61202335940829,83.30494037478705,70.12050781096173,0.01,0.8,holdout
20,176.71272365353295,271.9621298390269,2.058558009705406,22.842872310347605,84.72458830210108,70.24813212183938,0.01,0.8,holdout
21,157.20564956136212,238.4720451662024,2.0173627719620004,34.03905863793463,84.78137421919364,70.24172088277827,0.01,0.8,holdout
22,168.26485755419634,257.37145998120934,2.049957040137761,41.873627088512706,85.06530380465645,70.38033419394544,0.01,0.8,holdout
23,11.790690052420727,15.471301188097474,0.4381634873249154,47.8721257474523,85.74673480976718,69.96148779054803,0.01,0.8,holdout
24,127.21135640197461,188.41739430721648,1.4462821193549364,36.61489872027246,84.21351504826802,69.5156773287887,0.01,0.8,holdout
25,181.2962927657768,279.93321130959595,2.192819428600747,26.03450469985861,83.47529812606473,69.6466198107288,0.01,0.8,holdout
26,78.86140860419479,111.79079740363527,1.273269850614887,38.94965871883613,84.49744463373084,69.71578543026013,0.01,0.8,holdout
27,232.5624025774467,371.57230962050187,2.0907493810020337,27.602443712845808,84.38387279954571,70.06635270208781,0.01,0.8,holdout
28,208.47625368653277,327.963970109982,2.3033466479940476,23.171945176636473,84.32708688245314,70.25406049709912,0.01,0.8,holdout
29,65.34042597687633,91.35855183647126,1.089192102821171,26.080852119914443,84.04315729699034,69.66628025388732,0.01,0.8,holdout
0,-83.2159791896071,-52.85192385556381,-0.8315215355483299,90.25670170839827,82.92144748455428,66.21646403675712,0.015,0.8,in_sample
1,-88.78471729304623,-60.216426650699376,-1.1743493391607784,92.02610603407891,83.36275375110327,66.1784636662653,0.015,0.8,in_sample
2,-83.689070673917,-53.41642538958609,-0.8968340904007702,91.62258892259392,82.3918799646955,66.22861996526316,0.015,0.8,in_sample
3,-72.12970285466484,-41.62201518186438,-0.5578586101395109,83.73170584673359,81.24448367166814,65.51491461909599,0.015,0.8,in_sample
4,-79.80281855462088,-49.0278793923329,-0.6950789199940599,85.80333404848,81.72992056487202,66.10492696700173,0.015,0.8,in_sample
5,-84.21953267628936,-54.06076987555314,-0.8783364265770952,92.01632304440811,82.3918799646955,66.14647165124622,0.015,0.8,in_sample
6,-80.07018568126661,-49.31323939610217,-0.7427474020997726,87.26760069816343,81.95057369814651,66.32944957773721,0.015,0.8,in_sample
7,200.80140432014167,59.03395942556797,0.8999132088502932,47.94195578096262,81.33274492497794,65.9384254132114,0.015,0.8,in_sample
8,-87.92035561292326,-58.95242378587281,-1.068576107828812,90.19671188408623,83.23036187113857,66.64333295268982,0.015,0.8,in_sample
9,-77.68686827771562,-46.842885365498596,-0.6378800237919073,89.93543140226734,81.86231244483672,65.7110201013377,0.015,0.8,in_sample
10,-86.66034471303662,-57.20030463280634,-0.9769024590926132,91.94571882199634,82.2594880847308,66.15385833183781,0.015,0.8,in_sample
11,-67.87866872471871,-38.02424237966166,-0.4644252293464756,82.26324796979154,81.50926743159754,65.68417094108017,0.015,0.8,in_sample
