day_idx,day_frac,date,equity,n_overnight,total_uncovered,fee,rate,is_disprop,avg_risk_rub,pct_futures,risk_per_trade,block,risk_rub_bin
404,0.46490218642117376,2023-11-11 00:00:00+00:00,12315.032258214876,10,13806.169926537814,40.0,0.0028972553729845942,True,64.20895706247661,40.0,0.005,in_sample,<1000
405,0.4660529344073648,2023-11-12 00:00:00+00:00,12275.032258214876,10,13806.169926537814,40.0,0.0028972553729845942,True,64.20895706247661,40.0,0.005,in_sample,<1000
406,0.4672036823935558,2023-11-13 00:00:00+00:00,12485.827816087552,10,6462.785187010935,40.0,0.006189281995693278,True,63.88352337942374,40.0,0.005,in_sample,<1000
407,0.46835443037974683,2023-11-14 00:00:00+00:00,12471.418442100723,8,9844.962542466717,40.0,0.00406299158858737,True,63.73625128907009,25.0,0.005,in_sample,<1000
408,0.46950517836593786,2023-11-15 00:00:00+00:00,12428.819526167836,10,12384.604254523492,40.0,0.0032298165672423446,True,63.19737905809645,40.0,0.005,in_sample,<1000
409,0.4706559263521289,2023-11-16 00:00:00+00:00,12022.703210917909,6,10935.81653845754,40.0,0.003657705838364573,True,62.97168613806892,33.33333333333333,0.005,in_sample,<1000
410,0.4718066743383199,2023-11-17 00:00:00+00:00,11935.626163204155,11,8945.289875164115,40.0,0.004471627030338817,True,61.17985523416817,45.45454545454545,0.005,in_sample,<1000
411,0.47295742232451093,2023-11-18 00:00:00+00:00,11895.626163204155,11,8985.289875164115,40.0,0.004451720596189381,True,61.17985523416817,45.45454545454545,0.005,in_sample,<1000
412,0.47410817031070196,2023-11-19 00:00:00+00:00,11855.626163204155,11,9025.289875164115,40.0,0.004431990612298493,True,61.17985523416817,45.45454545454545,0.005,in_sample,<1000
413,0.475258918296893,2023-11-20 00:00:00+00:00,11966.53102848669,12,9662.548987754804,40.0,0.004139694406795905,True,61.09713225372467,41.66666666666667,0.005,in_sample,<1000
414,0.476409666283084,2023-11-21 00:00:00+00:00,12207.156799386177,11,11611.381952985805,40.0,0.0034448957205920018,True,61.19860639878338,27.27272727272727,0.005,in_sample,<1000
415,0.47756041426927504,2023-11-22 00:00:00+00:00,12368.899735923063,9,4633.9642881899545,0.0,0.0,False,61.46021463443779,33.33333333333333,0.005,in_sample,<1000
416,0.47871116225546606,2023-11-23 00:00:00+00:00,12705.521950476905,9,8809.25387601833,40.0,0.004540679671963261,True,62.365607909930176,55.55555555555556,0.005,in_sample,<1000
417,0.4798619102416571,2023-11-24 00:00:00+00:00,12859.911133464766,9,8809.25387601833,40.0,0.004540679671963261,True,62.655773294326565,44.44444444444444,0.005,in_sample,<1000
418,0.4810126582278481,2023-11-25 00:00:00+00:00,12751.633146929234,8,8809.25387601833,40.0,0.004540679671963261,True,62.519536276310326,50.0,0.005,in_sample,<1000
419,0.48216340621403914,2023-11-26 00:00:00+00:00,12711.633146929234,12,11582.13069589435,40.0,0.003453595979035123,True,62.93241276242227,33.33333333333333,0.005,in_sample,<1000
420,0.48331415420023016,2023-11-27 00:00:00+00:00,12602.078202074292,13,20219.4285278301,40.0,0.001978295278966161,True,63.66200666803924,23.076923076923077,0.005,in_sample,<1000
421,0.4844649021864212,2023-11-28 00:00:00+00:00,12235.365916541485,11,15355.414714346425,40.0,0.0026049442977680286,True,62.802452523669096,27.27272727272727,0.005,in_sample,<1000
422,0.4856156501726122,2023-11-29 00:00:00+00:00,12121.755212894011,12,7338.0824706860185,40.0,0.0054510153244789715,True,62.35138325059899,41.66666666666667,0.005,in_sample,<1000
423,0.48676639815880324,2023-11-30 00:00:00+00:00,12215.380873423583,13,14277.972924575926,40.0,0.0028015181294503014,True,62.05355108213931,38.46153846153847,0.005,in_sample,<1000
424,0.48791714614499426,2023-12-01 00:00:00+00:00,11852.119234909838,11,10544.05391051788,40.0,0.0037936073107611196,True,61.850186389910576,45.45454545454545,0.005,in_sample,<1000
425,0.4890678941311853,2023-12-02 00:00:00+00:00,11812.119234909838,11,10544.05391051788,40.0,0.0037936073107611196,True,61.850186389910576,45.45454545454545,0.005,in_sample,<1000
426,0.4902186421173763,2023-12-03 00:00:00+00:00,11772.119234909838,11,10544.05391051788,40.0,0.0037936073107611196,True,61.850186389910576,45.45454545454545,0.005,in_sample,<1000
427,0.49136939010356734,2023-12-04 00:00:00+00:00,11910.377907440898,13,25102.45575381076,40.0,0.0015934695948593663,False,60.19451983703963,15.384615384615385,0.005,in_sample,<1000
428,0.49252013808975836,2023-12-05 00:00:00+00:00,12122.877205352472,11,19243.29930584542,40.0,0.0020786456295386647,True,60.24467744643482,18.181818181818183,0.005,in_sample,<1000
429,0.4936708860759494,2023-12-06 00:00:00+00:00,12309.107134198512,14,34884.72064331842,40.0,0.0011466338059284798,False,60.67022614647158,14.285714285714285,0.005,in_sample,<1000
430,0.4948216340621404,2023-12-07 00:00:00+00:00,12169.132016068786,13,22614.481243981463,40.0,0.00176877813682529,True,61.04897178310573,15.384615384615385,0.005,in_sample,<1000
431,0.49597238204833144,2023-12-08 00:00:00+00:00,11998.721544885911,14,24862.908139940133,40.0,0.0016088222574310775,True,60.83806483767093,21.428571428571427,0.005,in_sample,<1000
432,0.49712313003452246,2023-12-09 00:00:00+00:00,11894.684368000855,15,28440.554902146963,40.0,0.001406442319343791,False,60.76042197115982,20.0,0.005,in_sample,<1000
433,0.4982738780207135,2023-12-10 00:00:00+00:00,11883.45688965541,14,25145.323438117844,40.0,0.0015907530518921033,False,60.89677013571946,21.428571428571427,0.005,in_sample,<1000
434,0.4994246260069045,2023-12-11 00:00:00+00:00,12278.51829283736,12,23698.117419630446,40.0,0.001687897789166401,True,61.13494939128705,25.0,0.005,in_sample,<1000
435,0.5005753739930955,2023-12-12 00:00:00+00:00,11987.246294920491,13,35081.19096246325,40.0,0.0011402121451007708,False,61.1166934861276,7.6923076923076925,0.005,in_sample,<1000
436,0.5017261219792866,2023-12-13 00:00:00+00:00,11820.608314215871,12,31679.057604777146,40.0,0.0012626638234960648,False,61.1983986537547,8.333333333333332,0.005,in_sample,<1000
437,0.5028768699654775,2023-12-14 00:00:00+00:00,11589.110092026047,13,41994.86228109517,40.0,0.0009524974681964085,False,60.40973962391548,7.6923076923076925,0.005,in_sample,<1000
438,0.5040276179516686,2023-12-15 00:00:00+00:00,11663.900475280323,6,6203.517410779854,40.0,0.006447954821645538,True,60.52290569638097,0.0,0.005,in_sample,<1000
439,0.5051783659378596,2023-12-16 00:00:00+00:00,11623.900475280323,6,6243.517410779854,40.0,0.006406645063716376,True,60.52290569638097,0.0,0.005,in_sample,<1000
440,0.5063291139240507,2023-12-17 00:00:00+00:00,11583.900475280323,6,6283.517410779854,40.0,0.006365861250161724,True,60.52290569638097,0.0,0.005,in_sample,<1000
441,0.5074798619102416,2023-12-18 00:00:00+00:00,11714.359532649254,9,16106.388194600368,40.0,0.00248348664621221,True,59.7286596083458,22.22222222222222,0.005,in_sample,<1000
442,0.5086306098964327,2023-12-19 00:00:00+00:00,11924.78729380557,9,17915.97531939243,40.0,0.0022326442901885227,True,59.846624297845295,11.11111111111111,0.005,in_sample,<1000
443,0.5097813578826237,2023-12-20 00:00:00+00:00,11761.95068352001,9,18940.904586178156,40.0,0.002111831555774237,True,59.78956455779601,22.22222222222222,0.005,in_sample,<1000
444,0.5109321058688148,2023-12-21 00:00:00+00:00,11947.615014378835,10,18777.09105737642,40.0,0.0021302554201699064,True,60.06038353554694,20.0,0.005,in_sample,<1000
445,0.5120828538550057,2023-12-22 00:00:00+00:00,11813.236105645152,11,24436.166867177708,40.0,0.0016369179428761963,True,59.95098917243083,18.181818181818183,0.005,in_sample,<1000
446,0.5132336018411968,2023-12-23 00:00:00+00:00,11773.236105645152,11,24476.166867177708,40.0,0.0016342428214787012,True,59.95098917243083,18.181818181818183,0.005,in_sample,<1000
447,0.5143843498273878,2023-12-24 00:00:00+00:00,11733.236105645152,11,24516.166867177708,40.0,0.001631576429411242,True,59.95098917243083,18.181818181818183,0.005,in_sample,<1000
448,0.5155350978135789,2023-12-25 00:00:00+00:00,11499.797649482072,12,19781.44945335474,40.0,0.002022096514935431,True,59.57074346397612,25.0,0.005,in_sample,<1000
449,0.5166858457997698,2023-12-26 00:00:00+00:00,11613.05051334804,10,11162.783345289827,40.0,0.0035833356935014,True,59.471611219069665,20.0,0.005,in_sample,<1000
450,0.5178365937859609,2023-12-27 00:00:00+00:00,11322.475093642239,10,8883.657177483063,40.0,0.004502650113670065,True,59.118202224025936,40.0,0.005,in_sample,<1000
451,0.5189873417721519,2023-12-28 00:00:00+00:00,11210.528494607182,8,8883.657177483063,40.0,0.004502650113670065,True,58.60484370423174,62.5,0.005,in_sample,<1000
452,0.520138089758343,2023-12-29 00:00:00+00:00,11534.509658524777,9,8924.691484072293,40.0,0.0044819476473093945,True,57.039374389339095,66.66666666666666,0.005,in_sample,<1000
453,0.5212888377445339,2023-12-30 00:00:00+00:00,11530.157555347205,8,3481.033779801327,0.0,0.0,False,56.91579089205329,75.0,0.005,in_sample,<1000
454,0.522439585730725,2023-12-31 00:00:00+00:00,11490.157555347205,9,7679.649178161319,40.0,0.005208571260487826,True,56.997457212573586,66.66666666666666,0.005,in_sample,<1000
455,0.523590333716916,2024-01-01 00:00:00+00:00,11450.157555347205,9,7679.649178161319,40.0,0.005208571260487826,True,56.997457212573586,66.66666666666666,0.005,in_sample,<1000
456,0.5247410817031071,2024-01-02 00:00:00+00:00,11410.157555347205,9,7679.649178161319,40.0,0.005208571260487826,True,56.997457212573586,66.66666666666666,0.005,in_sample,<1000
457,0.525891829689298,2024-01-03 00:00:00+00:00,11306.812747833335,5,4198.615398359992,0.0,0.0,False,56.79283055824491,60.0,0.005,in_sample,<1000
458,0.5270425776754891,2024-01-04 00:00:00+00:00,11306.812747833335,7,4198.615398359992,0.0,0.0,False,56.71889718136542,71.42857142857143,0.005,in_sample,<1000
459,0.5281933256616801,2024-01-05 00:00:00+00:00,11291.718152814978,7,4198.615398359992,0.0,0.0,False,56.79273066860876,57.14285714285714,0.005,in_sample,<1000
460,0.5293440736478712,2024-01-06 00:00:00+00:00,11291.718152814978,7,4198.615398359992,0.0,0.0,False,56.79273066860876,57.14285714285714,0.005,in_sample,<1000
461,0.5304948216340621,2024-01-07 00:00:00+00:00,11291.718152814978,7,4198.615398359992,0.0,0.0,False,56.79273066860876,57.14285714285714,0.005,in_sample,<1000
